InternalId;LoadDate;CustomerName;DeliveryCity;DeliveryAddress;DeliveryDate;DeliveryTime;PackageType;Comment
31;2024-08-23 18:00:00.000;"OOO ""Би-Ван Кеноби""";Набережные Челны; ПР-КТ. АВТОЗАВОДСКИЙ,д.5,кв.138;25.08.2024;18:00:00;Письмо;NULL
32;2024-08-21 20:00:00.000;ИП М.А.Н;Альметьевск; УЛ. ШЕВЧЕНКО дом 176;23.08.2024;20:00:00;Письмо;NULL
33;2024-08-23 15:00:00.000;"OOO ""Моя Оборона""";Набережные Челны; Хади Такташа 44;24.08.2024;15:00:00;Бандероль;NULL
34;2024-08-16 20:00:00.000;"ПАО ""Альто""";Альметьевск; УЛ. ШЕВЧЕНКО дом 176;23.08.2024;20:00:00;Бандероль;NULL
35;2024-08-17 15:05:00.000;"ПАО ""Альто""";Альметьевск; 8 Марта, 17;23.08.2024;15:05:00;Письмо;NULL
36;2024-08-19 14:00:00.000;"OOO ""Би-Ван Кеноби""";Нижнекамск; б-р. Школьный, д. 3, ;21.08.2024;14:00:00;Письмо;NULL
37;2024-08-18 10:00:00.000;ИП М.А.Н;Нижнекамск; МЕнделеева 32  4 подъезд ;21.08.2024;10:00:00;Письмо;NULL
38;2024-08-15 10:00:00.000;"OOO ""Би-Ван Кеноби""";Нижнекамск; МЕнделеева 32  4 подъезд ;21.08.2024;10:00:00;Письмо;NULL
39;2024-08-18 14:00:00.000;"ЗАО ""Чное обучение""";Нижнекамск; б-р. Школьный, д. 3, ;21.08.2024;14:00:00;Письмо;NULL
40;2024-08-16 11:00:00.000;ИП М.А.Н;Альметьевск; Резы Фахретдина 37/1;20.08.2024;11:00:00;Письмо;NULL
41;2024-08-19 11:00:00.000;OOO РиК;Альметьевск; Резы Фахретдина 37/1;20.08.2024;11:00:00;Письмо;NULL
42;2024-08-12 15:00:00.000;"OOO ""Би-Ван Кеноби""";Альметьевск; ул. Шевченко, д. 104;16.08.2024;15:00:00;Письмо;NULL
43;2024-08-14 15:00:00.000;"OOO ""Моя Оборона""";Альметьевск; ул. Шевченко, д. 104;16.08.2024;15:00:00;Письмо;NULL
44;2024-08-14 10:00:00.000;"ЗАО ""Чное обучение""";Набережные Челны; пр-кт. им Мусы Джалиля, д. зд 61 ;15.08.2024;10:00:00;Бандероль;NULL
45;2024-08-10 17:00:00.000;"OOO ""Моя Оборона""";Набережные Челны; Проспект мира 99а (25 комплекс 07а);15.08.2024;17:00:00;Бандероль;NULL
46;2024-08-09 17:00:00.000;"ПАО ""Альто""";Набережные Челны; Проспект мира 99а (25 комплекс 07а);15.08.2024;17:00:00;Письмо;NULL
47;2024-07-27 18:00:00.000;"OOO ""Моя Оборона""";Набережные Челны; ПР-КТ. СЮЮМБИКЕ, д.25, ;29.07.2024;18:00:00;Письмо;NULL
48;2024-08-12 10:00:00.000;ИП М.А.Н;Набережные Челны; пр-кт. им Мусы Джалиля, д. зд 61 ;15.08.2024;10:00:00;Письмо;NULL
49;2024-08-14 19:00:00.000;"OOO ""Моя Оборона""";Нижнекамск; Бакила-Манче д. 22;18.08.2024;19:00:00;Бандероль;NULL
50;2024-08-10 20:00:00.000;"OOO ""Би-Ван Кеноби""";Набережные Челны; ул. Гидростроителей д. 21;13.08.2024;20:00:00;Письмо;NULL
51;2024-08-10 20:00:00.000;"OOO ""Моя Оборона""";Набережные Челны; ул. Гидростроителей д. 21;13.08.2024;20:00:00;Бандероль;NULL
52;2024-08-17 14:00:00.000;"OOO ""Би-Ван Кеноби""";Набережные Челны; ул. Набережная Габдулы тыка  дом 49 ;21.08.2024;14:00:00;Письмо;NULL
53;2024-08-18 14:00:00.000;"ЗАО ""Чное обучение""";Набережные Челны; ул. Набережная Габдулы тыка  дом 49 ;21.08.2024;14:00:00;Бандероль;NULL
54;2024-08-16 14:00:00.000;ИП М.А.Н;Набережные Челны; ул. Набережная Габдулы тыка  дом 49 ;21.08.2024;14:00:00;Письмо;NULL
55;2024-08-19 14:00:00.000;"ПАО ""Альто""";Набережные Челны; ул. Набережная Габдулы тыка  дом 49 ;21.08.2024;14:00:00;Бандероль;NULL
56;2024-08-02 16:00:00.000;"OOO ""Моя Оборона""";Набережные Челны; ​20-й комплекс, 7а​Цветочный бульвар, 1а;09.08.2024;16:00:00;Письмо;NULL
57;2024-08-07 13:00:00.000;"ПАО ""Альто""";Альметьевск; ул. Сахредина 41 ;12.08.2024;13:00:00;Письмо;NULL
58;2024-08-08 16:00:00.000;"OOO ""Моя Оборона""";Набережные Челны; ​20-й комплекс, 7а​Цветочный бульвар, 1а;09.08.2024;16:00:00;Бандероль;NULL
59;2024-08-05 18:00:00.000;"ПАО ""Альто""";Набережные Челны; , ул. Усманова, д. 4515 /2;08.08.2024;18:00:00;Письмо;NULL
60;2024-08-05 09:00:00.000;"OOO ""Би-Ван Кеноби""";Альметьевск; улица Советская 216;08.08.2024;09:00:00;Письмо;NULL
61;2024-08-02 09:00:00.000;"OOO ""Би-Ван Кеноби""";Альметьевск; улица Советская 216;08.08.2024;09:00:00;Бандероль;NULL
62;2024-07-29 12:30:00.000;ИП М.А.Н;Альметьевск; ЛЕНИНА 100;31.07.2024;12:30:00;Письмо;NULL
63;2024-07-24 17:30:00.000;"OOO ""Моя Оборона""";Набережные Челны; ПР-КТ. ИМ ВАХИТОВА д. 48;30.07.2024;17:30:00;Письмо;NULL
64;2024-07-04 20:00:00.000;OOO РиК;Набережные Челны; Железнодорожников 16;10.07.2024;20:00:00;Письмо;NULL
65;2024-07-29 20:00:00.000;"OOO ""Би-Ван Кеноби""";Набережные Челны; УЛ. ЖЕЛЕЗНОДОРОЖНИКОВ  д. 59;30.07.2024;20:00:00;Письмо;NULL
66;2024-07-24 12:30:00.000;"OOO ""Би-Ван Кеноби""";Альметьевск; ЛЕНИНА 100;31.07.2024;12:30:00;Бандероль;NULL
67;2024-07-26 20:00:00.000;"ПАО ""Альто""";Набережные Челны; УЛ. ЖЕЛЕЗНОДОРОЖНИКОВ  д. 59;30.07.2024;20:00:00;Бандероль;NULL
68;2024-07-29 17:30:00.000;"ЗАО ""Чное обучение""";Набережные Челны; ПР-КТ. ИМ ВАХИТОВА д. 48;30.07.2024;17:30:00;Бандероль;NULL
69;2024-07-18 18:00:00.000;OOO РиК;Нижнекамск; УЛ. ГАГАРИНА, дом 16а;25.07.2024;18:00:00;Письмо;NULL
70;2024-07-23 13:00:00.000;ИП М.А.Н;Набережные Челны; производственный проезд, 45  1 проходная ;25.07.2024;13:00:00;Письмо;NULL
71;2024-07-22 12:00:00.000;OOO РиК;Набережные Челны; ПР-КТ. СЮЮМБИКЕ дом 84артира 195;25.07.2024;12:00:00;Письмо;NULL
72;2024-07-22 15:00:00.000;"ЗАО ""Чное обучение""";Набережные Челны; УЛ. ТАН 205;26.07.2024;15:00:00;Бандероль;NULL
73;2024-07-19 12:00:00.000;"ЗАО ""Чное обучение""";Набережные Челны; ПР-КТ. СЮЮМБИКЕ;25.07.2024;12:00:00;Письмо;NULL
74;2024-07-24 13:00:00.000;"ЗАО ""Чное обучение""";Набережные Челны; производственный проезд, 45  1 проходная ;25.07.2024;13:00:00;Бандероль;NULL
75;2024-07-23 18:00:00.000;"OOO ""Би-Ван Кеноби""";Нижнекамск; УЛ. ГАГАРИНА, дом 16а;25.07.2024;18:00:00;Бандероль;NULL
76;2024-07-21 12:00:00.000;"OOO ""Би-Ван Кеноби""";Набережные Челны; ПР-КТ. СЮЮМБИКЕ дом 84артира 195;25.07.2024;12:00:00;Письмо;NULL
77;2024-07-18 18:00:00.000;"OOO ""Би-Ван Кеноби""";Набережные Челны; УЛ. Аделя Кутуя д.10;23.07.2024;18:00:00;Письмо;NULL
78;2024-07-17 18:00:00.000;"ПАО ""Альто""";Набережные Челны; Проспект Фоменко 95 ;24.07.2024;18:00:00;Письмо;NULL
79;2024-07-19 12:00:00.000;OOO РиК;Набережные Челны; ПР-КТ. СЮЮМБИКЕ;25.07.2024;12:00:00;Бандероль;NULL
80;2024-07-19 13:00:00.000;"ПАО ""Альто""";Набережные Челны; Татарстан Респ, г. , пр-кт. Набережночелнинский, д. 21;24.07.2024;13:00:00;Письмо;NULL
81;2024-07-17 18:00:00.000;OOO РиК;Набережные Челны; Проспект Фоменко 95 ;24.07.2024;18:00:00;Бандероль;NULL
82;2024-07-23 13:00:00.000;"ЗАО ""Чное обучение""";Набережные Челны; Татарстан Респ, г. , пр-кт. Набережночелнинский, д. 21;24.07.2024;13:00:00;Письмо;NULL
83;2024-07-19 18:00:00.000;"ПАО ""Альто""";Набережные Челны; УЛ. Аделя Кутуя д.10;23.07.2024;18:00:00;Бандероль;NULL
84;2024-07-29 15:00:00.000;"ЗАО ""Чное обучение""";Альметьевск; Респ Татарстан, г , ул Рината Галеева, д 33;31.07.2024;15:00:00;Бандероль;NULL
85;2024-07-26 15:00:00.000;"ПАО ""Альто""";Альметьевск; Респ Татарстан, г , ул Рината Галеева, д 33;31.07.2024;15:00:00;Бандероль;NULL
86;2024-07-15 14:00:00.000;"ЗАО ""Чное обучение""";Набережные Челны; тан 19коплекс;20.07.2024;14:00:00;Письмо;NULL
87;2024-07-14 14:00:00.000;"ЗАО ""Чное обучение""";Набережные Челны; тан 19коплекс;20.07.2024;14:00:00;Бандероль;NULL
88;2024-07-15 18:30:00.000;"ЗАО ""Чное обучение""";Набережные Челны; УЛ. БУЛЬВАР СТРОИТЕЛЕЙ ДОМ 7 КВ 88;16.07.2024;18:30:00;Бандероль;NULL
89;2024-07-13 18:30:00.000;"OOO ""Моя Оборона""";Набережные Челны; УЛ. БУЛЬВАР СТРОИТЕЛЕЙ ДОМ 7 КВ 88;16.07.2024;18:30:00;Письмо;NULL
90;2024-07-10 12:30:00.000;"ЗАО ""Чное обучение""";Альметьевск; Автомобилистов, д. 11.;16.07.2024;12:30:00;Бандероль;NULL
91;2024-07-10 12:30:00.000;OOO РиК;Альметьевск;  ул. Ленина, д. 82;15.07.2024;12:30:00;Письмо;NULL
92;2024-07-08 17:30:00.000;"ПАО ""Альто""";Набережные Челны; проспект Чулман, д. 134;15.07.2024;17:30:00;Бандероль;NULL
93;2024-07-10 12:30:00.000;"ПАО ""Альто""";Альметьевск; Автомобилистов, д. 11.;16.07.2024;12:30:00;Письмо;NULL
94;2024-07-09 17:30:00.000;ИП М.А.Н;Набережные Челны; проспект Чулман, д. 134;15.07.2024;17:30:00;Бандероль;NULL
95;2024-07-08 12:30:00.000;"ЗАО ""Чное обучение""";Альметьевск;  ул. Ленина, д. 82;15.07.2024;12:30:00;Письмо;NULL
96;2024-06-30 15:00:00.000;"OOO ""Би-Ван Кеноби""";Альметьевск; советская 184 магазин карат;02.07.2024;15:00:00;Письмо;NULL
97;2024-07-14 12:00:00.000;OOO РиК;Набережные Челны; ул. Виктора Полякова д. 20г;15.07.2024;12:00:00;Письмо;NULL
98;2024-07-02 10:00:00.000;"ПАО ""Альто""";Альметьевск; Переулок Зай 11а ;08.07.2024;10:00:00;Письмо;NULL
99;2024-07-07 09:00:00.000;"OOO ""Би-Ван Кеноби""";Нижнекамск; УЛ. 30 ЛЕТ ПОБЕДЫ, 25;10.07.2024;09:00:00;Письмо;NULL
100;2024-07-08 20:00:00.000;"OOO ""Би-Ван Кеноби""";Набережные Челны; Железнодорожников 16;10.07.2024;20:00:00;Бандероль;NULL
101;2024-07-04 09:00:00.000;OOO РиК;Нижнекамск; УЛ. 30 ЛЕТ ПОБЕДЫ, 25;10.07.2024;09:00:00;Бандероль;NULL
102;2024-07-05 17:30:00.000;"OOO ""Би-Ван Кеноби""";Набережные Челны; бульвар энтузиастов, д 7;09.07.2024;17:30:00;Бандероль;NULL
103;2024-06-30 17:00:00.000;"ПАО ""Альто""";Нижнекамск; Респ Татарстан, г , ул Студенческая, д 34;04.07.2024;17:00:00;Письмо;NULL
104;2024-07-06 17:00:00.000;"ЗАО ""Чное обучение""";Набережные Челны; Бульвар Главноссктроевцев 1 этаж 9;07.07.2024;17:00:00;Бандероль;NULL
105;2024-07-06 10:00:00.000;"ЗАО ""Чное обучение""";Альметьевск; Переулок Зай 11а ;08.07.2024;10:00:00;Письмо;NULL
106;2024-06-27 09:00:00.000;"OOO ""Моя Оборона""";Набережные Челны; ул. Раскольникова, 11а;29.06.2024;09:00:00;Письмо;NULL
107;2024-07-03 17:00:00.000;"OOO ""Моя Оборона""";Нижнекамск; УЛ. ГАГАРИНА д 2 ;04.07.2024;17:00:00;Письмо;NULL
108;2024-07-03 17:00:00.000;OOO РиК;Нижнекамск; Респ Татарстан, г , ул Студенческая, д 34;04.07.2024;17:00:00;Бандероль;NULL
109;2024-06-28 17:00:00.000;"ПАО ""Альто""";Нижнекамск; Респ Татарстан, г , ул Студенческая, д 34;04.07.2024;17:00:00;Бандероль;NULL
110;2024-06-30 18:00:00.000;"ЗАО ""Чное обучение""";Набережные Челны;  проспект сююмбике д 74а д 66;03.07.2024;18:00:00;Бандероль;NULL
111;2024-06-29 16:00:00.000;OOO РиК;Нижнекамск; Химиков 78 г;03.07.2024;16:00:00;Письмо;NULL
112;2024-06-28 15:00:00.000;OOO РиК;Набережные Челны; проспект Мусы Джалиля д. 42;03.07.2024;15:00:00;Бандероль;NULL
113;2024-06-28 15:00:00.000;"OOO ""Би-Ван Кеноби""";Набережные Челны; проспект Мусы Джалиля д. 42;03.07.2024;15:00:00;Письмо;NULL
114;2024-06-28 18:00:00.000;"ПАО ""Альто""";Набережные Челны;  проспект сююмбике д 74а д 66;03.07.2024;18:00:00;Письмо;NULL
115;2024-06-27 17:00:00.000;"OOO ""Би-Ван Кеноби""";Нижнекамск; УЛ. ГАГАРИНА д 2 ;04.07.2024;17:00:00;Письмо;NULL
116;2024-06-25 15:00:00.000;"OOO ""Моя Оборона""";Альметьевск; советская 184 магазин карат;02.07.2024;15:00:00;Бандероль;NULL
117;2024-06-30 16:00:00.000;ИП М.А.Н;Нижнекамск; Химиков 78 г;03.07.2024;16:00:00;Бандероль;NULL
118;2024-06-30 18:30:00.000;"OOO ""Моя Оборона""";Набережные Челны; Набережная тукая. д.15 ;01.07.2024;18:30:00;Письмо;NULL
119;2024-06-26 18:30:00.000;"OOO ""Моя Оборона""";Набережные Челны; Набережная тукая. д.15 ;01.07.2024;18:30:00;Письмо;NULL
120;2024-06-23 12:00:00.000;"ЗАО ""Чное обучение""";Нижнекамск; пр-кт Шинников, д 3а;30.06.2024;12:00:00;Письмо;NULL
121;2024-06-27 12:00:00.000;"OOO ""Моя Оборона""";Нижнекамск; пр-кт Шинников, д 3а;30.06.2024;12:00:00;Бандероль;NULL
122;2024-06-27 09:00:00.000;ИП М.А.Н;Набережные Челны; ул. Раскольникова, 11а;29.06.2024;09:00:00;Письмо;NULL
123;2024-06-20 12:00:00.000;ИП М.А.Н;Альметьевск; УЛ. ГАФИАТУЛЛИНА l 4 rd 26 ;25.06.2024;12:00:00;Бандероль;NULL
124;2024-06-23 12:00:00.000;"ЗАО ""Чное обучение""";Набережные Челны; Г. НАБЕРЕЖНЫЕ ЧЕЛНЫ ТРАКТ. САРМАНОВСКИЙ д.46;28.06.2024;12:00:00;Письмо;NULL
125;2024-06-25 18:00:00.000;"ЗАО ""Чное обучение""";Набережные Челны; АДЕЛЯ КУТУЯ 14 ;26.06.2024;18:00:00;Письмо;NULL
126;2024-06-19 18:00:00.000;"OOO ""Моя Оборона""";Набережные Челны; АДЕЛЯ КУТУЯ 14 ;26.06.2024;18:00:00;Бандероль;NULL
127;2024-06-22 12:00:00.000;"OOO ""Моя Оборона""";Альметьевск; УЛ. ГАФИАТУЛЛИНА l 4 rd 26 ;25.06.2024;12:00:00;Письмо;NULL
128;2024-06-19 17:00:00.000;"OOO ""Би-Ван Кеноби""";Набережные Челны; ПР-КТ. СЮЮМБИКЕ 58\41 по комплексу 2005;23.06.2024;17:00:00;Письмо;NULL
129;2024-06-17 17:00:00.000;"ПАО ""Альто""";Набережные Челны; ПР-КТ. СЮЮМБИКЕ 58\41 по комплексу 2005;23.06.2024;17:00:00;Письмо;NULL
130;2024-06-16 12:00:00.000;"OOO ""Би-Ван Кеноби""";Набережные Челны; ПР-КТ. ИМ МУСЫ ДЖАЛИЛЯ д.8;20.06.2024;12:00:00;Письмо;NULL
131;2024-06-16 12:00:00.000;OOO РиК;Набережные Челны; ПР-КТ. ИМ МУСЫ ДЖАЛИЛЯ д.8;20.06.2024;12:00:00;Письмо;NULL
132;2024-06-18 11:00:00.000;ИП М.А.Н;Альметьевск; Клары Цеткин, д. 30;19.06.2024;11:00:00;Письмо;NULL
133;2024-06-10 19:00:00.000;"ПАО ""Альто""";Набережные Челны; ул академика рубаненка д 10;14.06.2024;19:00:00;Бандероль;NULL
134;2024-06-07 18:00:00.000;"OOO ""Моя Оборона""";Набережные Челны; ул. Гостева д. 57;13.06.2024;18:00:00;Бандероль;NULL
135;2024-05-31 10:00:00.000;ИП М.А.Н;Зеленодольск; ул. Татарстан, д. 1А;06.06.2024;10:00:00;Письмо;NULL
136;2024-06-12 11:20:00.000;ИП М.А.Н;Альметьевск; УЛ. КОМАРОВА Д.33;15.06.2024;11:20:00;Письмо;NULL
137;2024-06-12 15:00:00.000;OOO РиК;Нижнекамск;  УЛ. ХИМИКОВ Д 15 А КВ 75;16.06.2024;15:00:00;Бандероль;NULL
138;2024-06-16 16:00:00.000;ИП М.А.Н;Нижнекамск; Ул Тукая д 37 ;17.06.2024;16:00:00;Бандероль;NULL
139;2024-06-10 15:00:00.000;ИП М.А.Н;Нижнекамск;  УЛ. ХИМИКОВ Д 15 А КВ 75;16.06.2024;15:00:00;Письмо;NULL
140;2024-06-14 18:00:00.000;"OOO ""Би-Ван Кеноби""";Набережные Челны; пр-кт ХАСАНА ТУФАНА  29В КВ 40;15.06.2024;18:00:00;Письмо;NULL
141;2024-06-17 14:00:00.000;"OOO ""Моя Оборона""";Альметьевск; Карьерная 10;18.06.2024;14:00:00;Бандероль;NULL
142;2024-06-09 18:00:00.000;"OOO ""Моя Оборона""";Набережные Челны; пр-кт ХАСАНА ТУФАНА  29В КВ 40;15.06.2024;18:00:00;Письмо;NULL
143;2024-06-13 11:20:00.000;"OOO ""Би-Ван Кеноби""";Альметьевск; УЛ. КОМАРОВА Д.33;15.06.2024;11:20:00;Письмо;NULL
144;2024-06-13 19:00:00.000;"OOO ""Би-Ван Кеноби""";Набережные Челны; ул академика рубаненка д 10;14.06.2024;19:00:00;Бандероль;NULL
145;2024-06-09 18:00:00.000;"OOO ""Моя Оборона""";Набережные Челны; ул. Гостева д. 57;13.06.2024;18:00:00;Письмо;NULL
146;2024-06-07 12:00:00.000;OOO РиК;Нижнекамск; улица Бызова, 20Б (Клиника Гармония);12.06.2024;12:00:00;Письмо;NULL
147;2024-06-07 10:45:00.000;"ПАО ""Альто""";Набережные Челны; пр-кт В.Фоменко 52;12.06.2024;10:45:00;Письмо;NULL
148;2024-06-09 10:45:00.000;ИП М.А.Н;Набережные Челны; пр-кт В.Фоменко 52;12.06.2024;10:45:00;Бандероль;NULL
149;2024-06-03 17:00:00.000;"OOO ""Би-Ван Кеноби""";Набережные Челны; Московский Проспект,122;10.06.2024;17:00:00;Бандероль;NULL
150;2024-06-08 12:00:00.000;"ПАО ""Альто""";Нижнекамск; улица Бызова, 20Б (Клиника Гармония);12.06.2024;12:00:00;Бандероль;NULL
151;2024-06-08 20:00:00.000;"ЗАО ""Чное обучение""";Набережные Челны; ПР-КТ. В.ФОМЕНКО 70  ;09.06.2024;20:00:00;Письмо;NULL
152;2024-06-04 20:00:00.000;OOO РиК;Набережные Челны; ПР-КТ. В.ФОМЕНКО 70  ;09.06.2024;20:00:00;Бандероль;NULL
153;2024-06-04 17:00:00.000;ИП М.А.Н;Набережные Челны; Московский Проспект,122;10.06.2024;17:00:00;Бандероль;NULL
154;2024-06-06 10:00:00.000;OOO РиК;Нижнекамск; улица Студенческая 32Б ;08.06.2024;10:00:00;Бандероль;NULL
155;2024-06-02 19:30:00.000;OOO РиК;Нижнекамск; Г. НИЖНЕКАМСК, ПР-КТ. СТРОИТЕЛЕЙ, д. 4А ;07.06.2024;19:30:00;Письмо;NULL
156;2024-06-06 16:00:00.000;"OOO ""Моя Оборона""";Нижнекамск; пр-кт Химиков, д 78г;07.06.2024;16:00:00;Бандероль;NULL
157;2024-06-02 16:00:00.000;"ЗАО ""Чное обучение""";Нижнекамск; пр-кт Химиков, д 78г;07.06.2024;16:00:00;Письмо;NULL
158;2024-06-04 10:00:00.000;OOO РиК;Нижнекамск; улица Студенческая 32Б ;08.06.2024;10:00:00;Бандероль;NULL
159;2024-06-03 19:30:00.000;"OOO ""Би-Ван Кеноби""";Нижнекамск; Г. НИЖНЕКАМСК, ПР-КТ. СТРОИТЕЛЕЙ, д. 4А ;07.06.2024;19:30:00;Бандероль;NULL
160;2024-06-03 10:00:00.000;"ЗАО ""Чное обучение""";Зеленодольск; ул. Татарстан, д. 1А;06.06.2024;10:00:00;Бандероль;NULL
161;2024-05-31 12:00:00.000;"OOO ""Би-Ван Кеноби""";Альметьевск; УЛ. ЛЕНИНА 12;03.06.2024;12:00:00;Письмо;NULL
162;2024-05-27 15:00:00.000;ИП М.А.Н;Альметьевск; ЛЕНИНА 195, 12П, КВ 388;31.05.2024;15:00:00;Письмо;NULL
163;2024-05-31 12:00:00.000;OOO РиК;Альметьевск; УЛ. ЛЕНИНА 12;03.06.2024;12:00:00;Письмо;NULL
164;2024-05-27 17:00:00.000;"OOO ""Моя Оборона""";Набережные Челны; Проспект суюнбике д 64 ;01.06.2024;17:00:00;Письмо;NULL
165;2024-05-28 17:00:00.000;"ЗАО ""Чное обучение""";Набережные Челны; Проспект суюнбике д 64 ;01.06.2024;17:00:00;Письмо;NULL
166;2024-05-30 15:00:00.000;"ЗАО ""Чное обучение""";Альметьевск; ЛЕНИНА 195, 12П, КВ 388;31.05.2024;15:00:00;Бандероль;NULL
167;2024-05-23 19:00:00.000;"OOO ""Моя Оборона""";Набережные Челны; ПР-КТ. ЯШЬЛЕК дом 33;29.05.2024;19:00:00;Письмо;NULL
168;2024-05-17 12:00:00.000;"OOO ""Би-Ван Кеноби""";Набережные Челны; ул Комарова, д 20;24.05.2024;12:00:00;Письмо;NULL
169;2024-05-29 14:00:00.000;ИП М.А.Н;Нижнекамск; ПР-КТ. ВАХИТОВА 16;30.05.2024;14:00:00;Бандероль;NULL
170;2024-05-22 19:00:00.000;"OOO ""Моя Оборона""";Набережные Челны; проспект Чулман 24;29.05.2024;19:00:00;Письмо;NULL
171;2024-05-28 19:00:00.000;ИП М.А.Н;Набережные Челны; ПР-КТ. ЯШЬЛЕК дом 33;29.05.2024;19:00:00;Письмо;NULL
172;2024-05-21 18:30:00.000;"OOO ""Моя Оборона""";Набережные Челны; хадикарташа 23;27.05.2024;18:30:00;Бандероль;NULL
